config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
204,0.5809594530497286,0.678,0.11178550889985697,3,True,he,0.05,16,100,456,0.20836377143859863,"[0.48, 0.64, 0.8, 0.72, 0.75]","[np.float64(0.5888444147725564), np.float64(0.6030179650016843), np.float64(0.5680468494322876), np.float64(0.5948144955432434), np.float64(0.5500735404988714)]"
205,0.5748799642374101,0.6380000000000001,0.14372195378577346,3,True,he,0.05,16,150,42,0.2518758773803711,"[0.36, 0.72, 0.64, 0.72, 0.75]","[np.float64(0.5756909694708899), np.float64(0.6088114220454249), np.float64(0.5516544451047634), np.float64(0.5866806184209346), np.float64(0.5515623661450374)]"
206,0.5860878304999421,0.7016666666666667,0.053769053470477904,3,True,he,0.05,16,150,123,0.2099931240081787,"[0.68, 0.68, 0.64, 0.8, 0.7083333333333334]","[np.float64(0.605938368275164), np.float64(0.6040420962899612), np.float64(0.5628229981778894), np.float64(0.5956692345361615), np.float64(0.5619664552205339)]"
207,0.5836658043521787,0.6536666666666667,0.09179929798811705,3,True,he,0.05,16,150,456,0.16919350624084473,"[0.48, 0.64, 0.72, 0.72, 0.7083333333333334]","[np.float64(0.5888444147725564), np.float64(0.6030179650016843), np.float64(0.5434964432341813), np.float64(0.5920827562594406), np.float64(0.5908874424930309)]"
208,0.6096765376924396,0.6779999999999999,0.1528921188289311,3,True,he,0.05,32,50,42,0.11492586135864258,"[0.4, 0.84, 0.64, 0.76, 0.75]","[np.float64(0.6012275113600781), np.float64(0.6184679991378028), np.float64(0.6033554235035349), np.float64(0.6346703738261095), np.float64(0.5906613806346721)]"
209,0.6064236710605664,0.7173333333333333,0.07322416116131189,3,True,he,0.05,32,50,123,0.1268935203552246,"[0.68, 0.64, 0.84, 0.76, 0.6666666666666666]","[np.float64(0.5870791115492298), np.float64(0.6773142815716955), np.float64(0.5601972937594473), np.float64(0.618025371187921), np.float64(0.5895022972345384)]"
210,0.6063730802984303,0.612,0.142884568795934,3,True,he,0.05,32,50,456,0.12535810470581055,"[0.4, 0.64, 0.76, 0.76, 0.5]","[np.float64(0.6044471871365235), np.float64(0.6260768730000491), np.float64(0.5703465962672132), np.float64(0.6332355370426193), np.float64(0.5977592080457466)]"
211,0.582542526880483,0.621,0.13507035203922438,3,True,he,0.05,32,100,42,0.20710229873657227,"[0.48, 0.48, 0.68, 0.84, 0.625]","[np.float64(0.5834828116116824), np.float64(0.6100642562934788), np.float64(0.5471393405820629), np.float64(0.5850307554225839), np.float64(0.5869954704926073)]"
212,0.5988027137794312,0.6133333333333334,0.08432740427115677,3,True,he,0.05,32,100,123,0.18100619316101074,"[0.48, 0.64, 0.72, 0.56, 0.6666666666666666]","[np.float64(0.5880262075490816), np.float64(0.5992351239404212), np.float64(0.5508292754432232), np.float64(0.6522481831109275), np.float64(0.6036747788535026)]"
213,0.6206031684246575,0.67,0.1359411637437314,3,True,he,0.05,32,100,456,0.15692424774169922,"[0.4, 0.72, 0.72, 0.76, 0.75]","[np.float64(0.5808324024412777), np.float64(0.6121089224685922), np.float64(0.5893892290092845), np.float64(0.5975115720270524), np.float64(0.7231737161770805)]"
214,0.5819063735508759,0.6213333333333333,0.11913764215300628,3,True,he,0.05,32,150,42,0.25747060775756836,"[0.48, 0.48, 0.76, 0.72, 0.6666666666666666]","[np.float64(0.5834828116116824), np.float64(0.596350378273171), np.float64(0.5522972625479085), np.float64(0.6065771600822139), np.float64(0.5708242552394043)]"
215,0.5887258817454205,0.6453333333333333,0.08458000814481977,3,True,he,0.05,32,150,123,0.2553997039794922,"[0.48, 0.72, 0.68, 0.68, 0.6666666666666666]","[np.float64(0.5907234167473623), np.float64(0.6317269012793463), np.float64(0.5505004335265922), np.float64(0.591719761990083), np.float64(0.578958895183719)]"
216,0.5879675933279085,0.6613333333333333,0.11733333333333333,3,True,he,0.05,32,150,456,0.19280409812927246,"[0.44, 0.68, 0.76, 0.76, 0.6666666666666666]","[np.float64(0.5767795933459757), np.float64(0.6204608676885366), np.float64(0.5497424766920153), np.float64(0.6159699417294416), np.float64(0.5768850871835733)]"
217,0.5987649796106632,0.6696666666666666,0.11616272111903102,3,True,he,0.1,8,50,42,0.15100383758544922,"[0.44, 0.72, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.5858226582606204), np.float64(0.6402824034883008), np.float64(0.5545346245280671), np.float64(0.6209927718434844), np.float64(0.5921924399328437)]"
218,0.6148378475803311,0.7173333333333333,0.08149710287965933,3,True,he,0.1,8,50,123,0.11376404762268066,"[0.72, 0.6, 0.84, 0.76, 0.6666666666666666]","[np.float64(0.6105173685996178), np.float64(0.6528434361785537), np.float64(0.5751880918088037), np.float64(0.6834395298548421), np.float64(0.5522008114598386)]"
219,0.6174076789145786,0.644,0.12158947322856532,3,True,he,0.1,8,50,456,0.15138721466064453,"[0.52, 0.64, 0.8, 0.76, 0.5]","[np.float64(0.6341650885951099), np.float64(0.6538362263395067), np.float64(0.5685854750609111), np.float64(0.629815955445591), np.float64(0.6006356491317743)]"
220,0.5986637713307706,0.6133333333333334,0.06746192341692542,3,True,he,0.1,8,100,42,0.2738783359527588,"[0.48, 0.64, 0.64, 0.64, 0.6666666666666666]","[np.float64(0.5941153350260986), np.float64(0.6358231986675786), np.float64(0.5730558700208735), np.float64(0.6178959335957056), np.float64(0.5724285193435971)]"
221,0.5967815134814138,0.662,0.0980612053770501,3,True,he,0.1,8,100,123,0.2881348133087158,"[0.48, 0.64, 0.72, 0.72, 0.75]","[np.float64(0.5760021776065983), np.float64(0.6646251692455266), np.float64(0.5662087105498641), np.float64(0.604771595233368), np.float64(0.5722999147717123)]"
