config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
77,0.5627708120800277,66.12466124661246,5.986645537770875,7,True,xavier,0.1,8,200,42,0.30286216735839844,"['66.67%', '58.54%', '73.17%']","['0.576300', '0.509143', '0.602869']"
78,0.5591660249451088,66.93766937669376,4.982324203482449,7,True,xavier,0.1,8,300,42,0.43606138229370117,"['66.67%', '60.98%', '73.17%']","['0.574123', '0.506914', '0.596462']"
79,0.5604225949286766,71.79636082075108,2.7827475604427763,7,True,xavier,0.1,16,200,42,0.24077177047729492,"['69.05%', '70.73%', '75.61%']","['0.575246', '0.507947', '0.598076']"
80,0.563215700878219,73.42237708091368,3.67901443900505,7,True,xavier,0.1,16,300,42,0.20059657096862793,"['69.05%', '73.17%', '78.05%']","['0.575246', '0.507439', '0.606962']"
81,0.5652899425372556,66.91831204026326,6.161169858315473,7,True,xavier,0.2,8,200,42,0.3043837547302246,"['69.05%', '58.54%', '73.17%']","['0.580870', '0.513898', '0.601102']"
82,0.5618122595359999,68.56368563685636,3.274538204226172,7,True,xavier,0.2,8,300,42,0.45386815071105957,"['66.67%', '65.85%', '73.17%']","['0.575843', '0.509446', '0.600147']"
83,0.5637033121833973,67.73132017034457,5.064894332692741,7,True,xavier,0.2,16,200,42,0.26861000061035156,"['69.05%', '60.98%', '73.17%']","['0.583429', '0.510775', '0.596906']"
84,0.5610799195136674,66.14401858304298,5.149124261942134,7,True,xavier,0.2,16,300,42,0.3205220699310303,"['64.29%', '60.98%', '73.17%']","['0.575838', '0.506223', '0.601178']"
85,0.5608678857737895,68.6217576461479,6.433220812188876,7,True,he,0.05,8,200,42,0.30431175231933594,"['59.52%', '73.17%', '73.17%']","['0.573662', '0.507885', '0.601057']"
86,0.5615358997283709,67.0150987224158,7.5930123710481565,7,True,he,0.05,8,300,42,0.34981846809387207,"['57.14%', '75.61%', '68.29%']","['0.572626', '0.512038', '0.599944']"
